run_id,source_file,severity,alpha_deg,degradation_type,ambient_temperature,irradiance,load,SNR_dB,Peak_T_DTS,Peak_T_time_s,baseline_T_DTS,Delta_T_DTS,AUC_DTS,AUC_positive_DTS,Max_abs_dT_dt_DTS,Steady_T_DTS,Rise_time_10_90_DTS,Hotspot_position_m,Hotspot_index,Peak_spatial_temperature,Max_abs_dT_dx,Mean_abs_dT_dx,Inverter_region_mean_T,Inverter_region_max_T,Background_mean_T,Peak_T_surface,Delta_T_surface,AUC_surface,Max_abs_dT_dt_surface,Steady_T_surface,Rel_Delta_T_surface,Rel_Max_abs_dT_dx,n_time_samples,n_dts_channels,n_inverter_channels,duration_s
35,run_035_Moderate_Ta20_Vdc650_P2000.csv,Moderate,1.5,thermal_path,20.0,,650.0,,297.504749610416,0.0,297.4899511192046,0.014798491211422515,-25.198188498353943,0.0021052653848728795,0.0551932026334414,296.93040938646203,,6.0,12.0,296.927218620254,1.8449070588659993,0.17999093257229262,296.927218620254,296.927218620254,295.08231156138794,297.380109905312,3.6547312829988527,187.07486160555604,4.411871702217468,297.379397437925,0.8283856670541744,0.4181687917032409,6002,41,5,60.0
36,run_036_Severe_Ta20_Vdc650_P2000.csv,Severe,2.0,thermal_path,20.0,,650.0,,297.504749610416,0.0,297.4899548959916,0.01479471442439717,-18.45382963456976,0.0021042170687694617,0.0551932026334414,297.1551475122939,,6.0,12.0,297.156924956858,2.0746133952840182,0.20240130685697738,297.156924956858,297.156924956858,295.0823115615741,297.907919770403,4.179793273105076,214.44702365218666,4.411886147425321,297.9072227689941,0.9473937299003764,0.4702327589515692,6002,41,5,60.0
37,run_037_Healthy_Ta20_Vdc700_P2000.csv,Healthy,1.0,thermal_path,20.0,,700.0,,297.504749610416,0.0,297.4900706976304,0.014678912785598186,-28.08895864915555,0.0020821057322173405,0.05518356343014369,296.83809039760865,,6.0,12.0,296.833020244283,1.7507086855590046,0.1708008473716102,296.833020244283,296.833020244283,295.08231155872403,297.172980668502,3.4036124706803434,173.02481337206052,4.781167076142083,297.17237339632237,0.7118790070450149,0.3661676443592616,6002,41,5,60.0
38,run_038_Mild_Ta20_Vdc700_P2000.csv,Mild,1.25,thermal_path,20.0,,700.0,,297.504749610416,0.0,297.4900753018984,0.014674308517612644,-24.24782542777737,0.0020808304453168026,0.05518356343014369,296.9630040727311,,6.0,12.0,296.960590535991,1.8782789774940056,0.1832467295116103,296.960590535991,296.960590535991,295.082311558497,297.46006810483,3.6873965403559055,188.2157532041899,4.781185747653581,297.4593900150511,0.7712305555511069,0.3928479412070095,6002,41,5,60.0
39,run_039_Moderate_Ta20_Vdc700_P2000.csv,Moderate,1.5,thermal_path,20.0,,700.0,,297.504749610416,0.0,297.4900784798889,0.014671130527119658,-20.47828743769368,0.0020799492005866716,0.05518356343014369,297.08680141165735,,6.0,12.0,297.087061888843,2.004750330220986,0.19558539807034012,297.087061888843,297.087061888843,295.08231155862205,297.747056244169,3.9720876806102865,203.29577545988917,4.781198222530293,297.7463379951113,0.8307724331304108,0.4192987274139907,6002,41,5,60.0
40,run_040_Severe_Ta20_Vdc700_P2000.csv,Severe,2.0,thermal_path,20.0,,700.0,,297.504749610416,0.0,297.4900825801217,0.014667030294333472,-13.15000652867512,0.0020788110527956674,0.05518356343014369,297.3310092513954,,6.0,12.0,297.33666942337,2.254357864756969,0.21993735265921646,297.33666942337,297.33666942337,295.08231155861307,298.32065567584,4.542703422998329,233.03920412093265,4.781213847185427,298.31995657697945,0.950115089638272,0.4715032493441073,6002,41,5,60.0
41,run_041_Healthy_Ta25_Vdc500_P2000.csv,Healthy,1.0,thermal_path,25.0,,500.0,,298.710483371529,60.0,297.5058546051584,1.204628766370604,35.56117370222048,35.561393864755786,0.023112761435186258,298.68443266004897,43.6927178803533,6.0,12.0,298.710483371529,1.205733761112981,0.11763256205980303,298.710483371529,298.710483371529,297.504749610416,300.919672483185,2.3423632186654118,119.13217491316547,3.329556180158761,300.9191108485795,0.7035061407354666,0.362130475015889,6002,41,5,60.0
42,run_042_Mild_Ta25_Vdc500_P2000.csv,Mild,1.25,thermal_path,25.0,,500.0,,298.79834185564,60.0,297.50585778824296,1.2924840673970266,38.20721424197499,38.20743534359718,0.024789144037640654,298.77046310937527,43.7027162139643,6.0,12.0,298.79834185564,1.2935922452239765,0.126204121485266,298.79834185564,298.79834185564,297.504749610416,301.117319929532,2.5377285312814593,129.59474771331816,3.3295692839419644,301.1166953216955,0.7621792234570881,0.38851639203388455,6002,41,5,60.0
43,run_043_Moderate_Ta25_Vdc500_P2000.csv,Moderate,1.5,thermal_path,25.0,,500.0,,298.885444089819,60.0,297.50585998533825,1.3795841044807275,40.80394548875793,40.80416723962111,0.026464605582077638,298.85572529598613,43.69271788035323,6.0,12.0,298.885444089819,1.3806944794029619,0.13470190042955726,298.885444089819,298.885444089819,297.504749610416,301.314897592201,2.7337192690037,139.981103200924,3.3295780388034473,301.31423490970076,0.8210407556586715,0.4146755124259358,6002,41,5,60.0
44,run_044_Severe_Ta25_Vdc500_P2000.csv,Severe,2.0,thermal_path,25.0,,500.0,,299.057353375862,60.0,297.50586282006435,1.5514905557976704,45.852227284674136,45.85244987441291,0.02980619837217091,299.0239188004061,43.60273287785365,6.0,12.0,299.057353375862,1.5526037654460083,0.1514735380922935,299.057353375862,299.057353375862,297.504749610416,301.709787634837,3.1265479246629297,160.46722178996032,3.3295890045774286,301.70913018047963,0.9390191763501852,0.46630492932056505,6002,41,5,60.0
